recording_id,roi,label,atlas_region,base_region,side,n_rois_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2018-12-12_4,830,LH_R_830,LH_R,LH,R,679,2000,247,0.0973794281415595,0.34949139056493045,0.22007926863957267,0.20105199254746894,0.0834268,-0.9497219934132062,0.051706051397629106,1.510580227339315,0.007289797508660157,-0.17933386973016593
2018-12-12_4,831,LH_R_831,LH_R,LH,R,679,2000,247,0.10308845494948973,0.5004275914094324,0.24662375437483192,1.6963718718343095,0.12282623,0.3970882841225247,0.004843856855693952,0.14151214785294514,0.0037810986495023027,-0.6536205015090103
2018-12-12_4,832,LH_R_832,LH_R,LH,R,679,2000,247,0.05860184166921226,-0.6757168939582929,0.20473467833698206,-0.663348664817601,0.08147784,-1.0163442647780898,0.07057025916132648,2.0616936556907337,0.014665672896476037,0.81769643538622
2018-12-12_4,833,LH_R_833,LH_R,LH,R,679,2000,247,0.06140062540982879,-0.6017221836501844,0.2101559159234583,-0.35795625999782915,0.10250344,-0.2976158102800388,0.022186444061300045,0.6481717866297244,0.014521075900316224,0.7981506079935448
2018-12-12_4,834,LH_R_834,LH_R,LH,R,679,2000,247,0.11431874303960994,0.79733581688097,0.23599295868798106,1.0975115178712447,0.117713235,0.22230812916139064,-0.010718106582024545,-0.31312698300655845,0.006979290053707395,-0.2213065612785976
2018-12-12_4,835,LH_R_835,LH_R,LH,R,679,2000,247,0.021683899180502654,-1.651759601360087,0.18908506288358706,-1.5449321817878359,0.14110178,1.0218102776445765,-0.04938490413112846,-1.4427684515269514,-0.036949264138365565,-6.159327133290126
2018-12-12_4,836,LH_R_836,LH_R,LH,R,679,2000,247,0.1524433106379768,1.8052794797384761,0.240201780275156,1.334605377983763,0.08757379,-0.8079635224786231,0.03326446297619723,0.9718135244651133,0.00500178723226903,-0.48861452647065057
2018-12-12_4,837,LH_R_837,LH_R,LH,R,679,2000,247,0.13503079595230322,1.3449245186873302,0.23657474240531284,1.1302849069151333,0.08129837,-1.0224791626989849,0.044087523240101546,1.2880067047996178,0.006431622053693077,-0.29533731213140574
2018-12-12_4,634,LO_R_634,LO_R,LO,R,679,2000,247,0.0881368081551501,0.10513346520709482,0.21740061844460373,0.05015666437495275,0.09434921,-0.5763558447511515,-0.023427311380484463,-0.6844234358360584,0.00811638392046766,-0.06760046060412965
2018-12-12_4,635,LO_R_635,LO_R,LO,R,679,2000,247,0.03075036925556731,-1.4120587566732583,0.20219459738132675,-0.8064380275527046,0.07534384,-1.2260259477359727,0.036479057142494525,1.0657271429927826,0.003938143355369505,-0.6323920611171973
2018-12-12_4,636,LO_R_636,LO_R,LO,R,679,2000,247,0.07427959402997336,-0.26122586795239067,0.2221901278829589,0.3199621805425263,0.13406771,0.7813613990525272,-0.006778578631096358,-0.1980345931050631,0.00676849103835891,-0.24980121385072698
2018-12-12_4,638,LO_R_638,LO_R,LO,R,679,2000,247,0.07987715866839074,-0.11323652249500779,0.2234398230891582,0.390360759875223,0.09328544,-0.6127192755238029,0.04422566457033421,1.2920424715307315,0.010516129451040758,0.25678395382094565
2018-12-12_4,642,LO_R_642,LO_R,LO,R,679,2000,247,0.025930727571996152,-1.5394812455884515,0.1863735757751502,-1.697677298649902,0.15076135,1.352008271079875,-0.04171140112427879,-1.2185888515912386,0.015434480879241517,0.9216196739619141
2018-12-12_4,643,LO_R_643,LO_R,LO,R,679,2000,247,0.06127839032608066,-0.6049538551366844,0.20618353302597217,-0.5817309141385177,0.088579796,-0.7735746792010191,0.02987721998307711,0.8728560107448622,0.00821977890279132,-0.05362409504026025
2018-12-12_4,644,LO_R_644,LO_R,LO,R,679,2000,247,0.050712165594771104,-0.8843054630145384,0.19539697895513894,-1.1893655427384076,0.1011074,-0.3453372578112518,-0.030365635662897322,-0.8871249608719015,0.011520914680984571,0.3926052999952834
2018-12-12_4,645,LO_R_645,LO_R,LO,R,679,2000,247,0.044092743039427555,-1.0593108581372461,0.19656632990754727,-1.1234929640628086,0.105976135,-0.17890701269471015,-0.028870970565704823,-0.8434586687980745,0.005267678023236389,-0.45267287039498794
2018-12-12_4,646,LO_R_646,LO_R,LO,R,679,2000,247,0.02988729782402465,-1.4348767828127613,0.18702075054749392,-1.6612202615044036,0.1348351,0.8075931304648695,-0.066355052204929,-1.9385473679668732,0.007122561740166999,-0.20193988196873233
2018-12-12_4,647,LO_R_647,LO_R,LO,R,679,2000,247,0.02433809771127878,-1.581587458891615,0.19615326344274223,-1.1467620717204217,0.1295676,0.6275315333671695,-0.040113866297599575,-1.1719172443723935,-0.03964050291765448,-6.52311400334597
2018-12-12_4,648,LO_R_648,LO_R,LO,R,679,2000,247,0.016444657554752513,-1.7902755433764452,0.18485967321018176,-1.7829593652635969,0.16041659,1.6820580367424256,-0.038750427379478924,-1.1320846945019851,0.048572742909736996,5.401067843310028
2018-12-12_4,649,LO_R_649,LO_R,LO,R,679,2000,247,0.021280563848325287,-1.6624230479952724,0.1817245978268817,-1.9595663106934864,0.15422887,1.4705400612733481,-0.04391529390953789,-1.282975065092369,-0.004242489728417281,-1.7382050894997672
2018-12-12_4,650,LO_R_650,LO_R,LO,R,679,2000,247,0.05133933302720418,-0.8677243060626466,0.19932868163815218,-0.9678825108201897,0.09098638,-0.6913092840732954,0.036780079837701665,1.0745214507975582,0.007029638663043296,-0.21450071292990097
2018-12-12_4,652,LO_R_652,LO_R,LO,R,679,2000,247,0.026249514411868097,-1.5310531060633998,0.18660486831293846,-1.6846479887911665,0.15512988,1.5013398568300433,-0.04611826591759612,-1.3473343783024152,-0.002577373736667115,-1.513123859405878
2018-12-12_4,655,LO_R_655,LO_R,LO,R,679,2000,247,0.032054045993163,-1.3775919341267748,0.1906532506379246,-1.4565920893519781,0.13219272,0.7172674044918914,-0.056333657160434314,-1.6457746499700006,0.006857357012868709,-0.2377887997274718
2018-12-12_4,659,LO_R_659,LO_R,LO,R,679,2000,247,0.017786524400299486,-1.7547990444003465,0.1903532618073763,-1.4734912399460705,0.15989996,1.6643980474600086,-0.019516983171815057,-0.5701841095916642,,
