recording_id,roi,label,atlas_region,base_region,side,n_rois_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2018-11-03_5,175,PLP_L_175,PLP_L,PLP,L,693,2000,398,0.026422643751205257,-0.8451983394939564,0.26740463504771167,-0.5121960159310784,0.01870476,0.8180692597510731,-0.00020846245996115697,-0.1085004033120678,0.0010835469616505252,0.08242255954055028
2018-11-03_5,176,PLP_L_176,PLP_L,PLP,L,693,2000,398,0.03701992069758218,-0.43021014810210906,0.26537478821461874,-0.9969598015816844,0.018166896,0.3288402658910352,-0.000994512077819319,-0.5176229886293422,0.002243171785323323,0.8237390927960665
2018-11-03_5,177,PLP_L_177,PLP_L,PLP,L,693,2000,398,0.04592336618452538,-0.08155220904110512,0.266273260281471,-0.7823885771287614,0.018780537,0.8869934120976747,-0.0007929092413083666,-0.4126928775946216,0.0022022969705918797,0.7976089381670856
2018-11-03_5,178,PLP_L_178,PLP_L,PLP,L,693,2000,398,0.035460476434338466,-0.4912778127158146,0.26689478390289373,-0.6339576025940683,0.018698752,0.812603714412345,-0.0008334768444805735,-0.43380747686783616,-0.0002341784544913583,-0.7599633719567337
2018-11-03_5,179,PLP_L_179,PLP_L,PLP,L,693,2000,398,0.04307774668416951,-0.192986353474387,0.26810552174224916,-0.3448117178565148,0.017879039,0.06701252015708649,-0.0008400345639718664,-0.4372206343722869,0.001043204709705467,0.05663285778088046
2018-11-03_5,180,PLP_L_180,PLP_L,PLP,L,693,2000,398,0.03335141243060334,-0.5738685254874498,0.26546616304581794,-0.9751378550371688,0.018498827,0.6307565837901992,-0.0004858736923190555,-0.2528872180879184,0.004765626010556773,2.436275305692295
2018-11-03_5,181,PLP_L_181,PLP_L,PLP,L,693,2000,398,0.03496772929269681,-0.5105737362023934,0.26686670983398536,-0.640662193157633,0.018846981,0.9474295352604487,-0.00033170303378275706,-0.1726445756803006,0.0012456707811055636,0.18606389710341706
2018-11-03_5,182,PLP_L_182,PLP_L,PLP,L,693,2000,398,0.035787653425176,-0.47846559799502114,0.264294874481782,-1.254862546149033,0.018158102,0.32084186553637456,-0.0003591143664758588,-0.18691160799430562,0.003787140047860165,1.810755907609707
2018-11-03_5,183,PLP_L_183,PLP_L,PLP,L,693,2000,398,0.03372585452570987,-0.559205414518895,0.26807402063933405,-0.3523347455314798,0.018616073,0.7374007923740737,0.00011137411512456016,0.05796792579244769,0.0004829850145534887,-0.3015003192549266
2018-11-03_5,184,PLP_L_184,PLP_L,PLP,L,693,2000,398,0.04969977253752794,0.06633144544138053,0.2699822017379425,0.10337308325030993,0.01798018,0.15900852508360105,0.00030138586497074264,0.15686511570464579,0.0021949558367178983,0.7929159514333347
2018-11-03_5,185,PLP_L_185,PLP_L,PLP,L,693,2000,398,0.04970287525824101,0.06645294764082539,0.26549920893777457,-0.9672459040663227,0.017841686,0.03303668437814867,-0.0008673292343811578,-0.4514269463779588,0.0021605134461813442,0.7708978702157191
