neuron,n_recordings_basic,FCS_z,FCV_z,Metastability_z,FCS,FCV,Metastability,cluster_label,cluster_sort
ADAL,12,-0.2656744263190263,1.002096815338493,-0.5194797051327116,0.2854852111158315,0.29745975569900346,0.02990523174872023,M4,2
ADAR,1,-2.0137910907358965,-1.9549487473590903,-1.927094012981138,0.1948475956308112,0.22866504657953554,0.023349687692457644,M4,2
ADEL,15,-1.0458558065020933,-0.3411785347780102,-0.5650556620464705,0.23710430779249264,0.2583739838410002,0.030768295520587276,M4,2
ADER,8,-1.6260576689710295,-1.5983336840150695,0.5693222096897941,0.20591762555069656,0.2231144557515376,0.03578312183197906,M4,2
ADLL,9,-0.9774821574303483,-0.01831299683393597,0.39777328970015,0.25115333671033885,0.28044200144728254,0.03335007270188079,M4,2
ADLR,5,-0.5201062937446508,0.8652909874236592,0.3665587441551834,0.27545511858364635,0.29648512522773657,0.033218238726400416,M4,2
AIBL,16,1.7689021380908436,0.5320926581344193,0.23731877422642092,0.419889617069908,0.2870621124047578,0.033575325186662584,M4,2
AIML,3,1.0337863595722776,1.2595180991113544,0.8391822880877179,0.37708769082538235,0.32642703732284845,0.0315059115586312,M4,2
AQR,4,0.3721107370552778,0.5666369737621333,0.5015021188794513,0.3290142505362897,0.2847737462036975,0.030134220434204922,M4,2
ASGL,15,0.35127011479178744,-0.24765895343809882,0.4955611648039662,0.33293958746096647,0.26747168941495825,0.035218148343002874,M4,2
ASHL,7,-0.33991550017117256,0.8289559736431411,0.3293841680230803,0.2828518554995315,0.29402994456173015,0.03446876650496948,M4,2
ASKL,3,-0.8774297659454736,0.10950472017637271,0.5775158085220268,0.2541647282551321,0.2832146104582889,0.04765974209252358,M4,2
AVAL,16,1.7641162821388265,0.5346223307526565,0.1780109487125085,0.4256877041616045,0.2907897818892927,0.03413329682468915,M4,2
AVAR,14,1.766889535157265,0.34510250236005574,0.38489458927970893,0.4244651666762538,0.28261262185846375,0.03462815152363842,M4,2
AVBL,4,1.1467995550010586,0.48168329936069537,0.1082176558221663,0.41064856759112095,0.3105248002038754,0.03224685967779078,M4,2
AVBR,2,0.9247673256374954,0.2508875781405866,0.4950861638639561,0.37169056536787876,0.2601219685354469,0.029456354956142496,M4,2
AVDL,16,-1.077287446104278,-1.339834314446348,0.41864127085931185,0.23562123638069912,0.22512431370926342,0.036335611239528935,M4,2
AVDR,12,-1.1376476346502007,-1.1507533126671856,0.4086388383210821,0.23395471263303894,0.2337758238867199,0.03618103910044842,M4,2
AVHL,6,-0.8060216740213204,-1.4227592595677674,-0.24189308087931458,0.2660781341654697,0.2358917710909719,0.03272215982547901,M4,2
AVJL,17,-0.8136237018213152,-0.9958176258816444,-0.14118642028241032,0.2559263003480302,0.24253824897069745,0.03312350634689934,M4,2
AVJR,14,-1.1426250169566212,-1.0890465105071547,-0.5115252275682985,0.2339638416268506,0.2361120212552372,0.030185688558407673,M4,2
FLPL,16,-0.8348268391891998,-0.41059298725263405,-0.32079889195175115,0.25270511504501664,0.25792229232200703,0.031194769711705473,M4,2
FLPR,9,-1.4922271812426826,-1.544217298772178,0.414836134166557,0.21214979789463392,0.22608074679761986,0.03507798096769605,M4,2
RIMR,7,1.7151133952266076,0.4384315690067427,0.14365688788246445,0.42341421326910755,0.2820151647613994,0.03348606675469325,M4,2
