uid,neuron,phase,n_neurons_recording,n_time,n_windows,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2023-01-16-15,RICL,spontaneous,70,802,50,-0.002081050725078662,-0.13732783594152478,0.005248694678766354,0.35134783330837116
2023-01-16-15,RICR,spontaneous,70,802,50,-0.009047651602187722,-0.5970514797683963,0.005368675454399674,0.38062664036590965
2023-01-16-15,OLQVL,spontaneous,70,802,50,0.012266682786790061,0.8094742626839894,0.002306006019814777,-0.366753987763059
2023-01-16-15,URBR,spontaneous,70,802,50,-0.027793593812169802,-1.8340898879909617,0.0019163219373290008,-0.4618482643608709
2023-01-16-15,URXR,spontaneous,70,802,50,-0.002574611153678736,-0.16989772227308336,0.005801630015942832,0.486280175319245
2023-01-16-15,RIBL,spontaneous,70,802,50,0.022471288948567203,1.482872783894679,0.0036480756597584416,-0.03924987022193014
2023-01-16-15,SMDDR,spontaneous,70,802,50,0.006349491109870174,0.4190007782801459,0.004997279055436513,0.2899950916889805
2023-01-16-15,IL1VL,spontaneous,70,802,50,-0.028130471318638387,-1.856320321100159,-0.0060948927306051,-2.4168181945087874
2023-01-16-15,AIBL,spontaneous,70,802,50,0.022734077063171706,1.5002140830061774,0.0037857079444937824,-0.005663580348545298
2023-01-16-15,AVDR,spontaneous,70,802,50,-0.013930067258602605,-0.9192404433445394,0.0010402115336060928,-0.6756447441410987
2023-01-16-15,AVAL,spontaneous,70,802,50,0.014057095132676469,0.9276229699406447,0.0038159296580061518,0.0017113988029574677
2023-01-16-15,FLPL,spontaneous,70,802,50,-0.01262884016695559,-0.8333729061380092,0.007648998032861511,0.9370918278204178
2023-01-16-15,URXL,spontaneous,70,802,50,0.007570613156072514,0.499582210536736,0.005799671619885153,0.4858022695879947
2023-01-16-15,OLQVR,spontaneous,70,802,50,-0.012051078818058465,-0.7952466294554936,0.004174178282564332,0.08913450722762536
2023-01-16-15,AUAL,spontaneous,70,802,50,0.011166006125951894,0.7368409808121429,0.00385224162184228,0.010572576582700548
2023-01-16-15,AWAR,spontaneous,70,802,50,0.020171011326000545,1.3310782388771114,0.00636599757527621,0.6240023128203046
2023-01-16-15,RMDDL,spontaneous,70,802,50,-0.010168763913826716,-0.6710333033488686,0.005705695856200948,0.46286944357090287
2023-01-16-15,AIZL,spontaneous,70,802,50,0.010372776309490107,0.6844960125774678,0.00337786056206939,-0.10519023164658584
2023-01-16-15,ASGL,spontaneous,70,802,50,0.020563700958321236,1.3569916953601266,0.0031229313847986836,-0.167400382858287
2023-01-16-15,ASIR,spontaneous,70,802,50,0.021432318613272355,1.4143114816476667,0.005526860201819041,0.41922833030073364
