neuron,n_recordings_basic,FCS_z,FCV_z,Metastability_z,FCS,FCV,Metastability,cluster_label,cluster_sort,n_recordings_te,NetTE_z,NeighborNetTE_z,NetTE,NeighborNetTE
IL2DR,16,-1.1867236199742637,-0.8017521261463133,0.7107623633746155,0.2330076543208574,0.2465577754544054,0.0368724521022923,M3,3,16,-0.7795502579092997,-0.7650642301544891,-0.00955670924541,7.032650214672389e-05
IL2L,15,-0.7491932624763558,-0.8284706952314017,-0.1025161928497025,0.2593118893289958,0.2470024381527718,0.0325423443362133,M3,3,15,-0.7566054851285242,0.4212659933895653,-0.0089153950140805,0.0028457356817269
IL2R,11,-0.326612942129094,-0.575206257082836,0.0608988451899551,0.2892289718060408,0.2546014360174705,0.0291804386483976,M3,3,11,-0.4767633443184744,0.2064027806435432,-0.0055566158077707,0.002170137511739
IL2VL,11,-1.3633120551602589,-1.1647925562623735,0.6370891908956083,0.2206979159239903,0.2373166081848405,0.0358144418532994,M3,3,11,-0.9187837628793536,-1.1140185665306246,-0.0110944996061427,-0.0011311771469303
IL2VR,13,-1.1019336811601352,-0.6709397428863378,0.6571062977885606,0.2399718701692013,0.2545067315400118,0.0391632527540519,M3,3,13,-0.8391371670869064,-0.1959675712698405,-0.0102336620146121,0.0011067997982801
OLQDL,17,0.3212891231418278,0.5535254444583871,-0.7859073728090534,0.3314793410883859,0.2934213104914573,0.0299695983546812,M3,3,17,0.7036697049598346,-0.1475411084394968,0.0086529420697365,0.0014127705697122
OLQDR,16,0.0983842809314183,0.0416358300843741,-0.4868797260227229,0.3177018294560204,0.2759881655457291,0.0314408412259673,M3,3,16,-0.391821038658649,0.1254303212513777,-0.0047101781100974,0.0020090318317325
OLQVL,16,0.3264944890861742,0.5832850111119773,-0.2991797473275751,0.3303879124892121,0.2935227065584287,0.0326071619001837,M3,3,16,0.3078616861980271,-0.0530454883916382,0.0038244022339497,0.0016430956746566
OLQVR,12,-0.0775145565245618,0.2871277282780541,-0.5452307943681721,0.3014468337875723,0.2809612852852454,0.030592029357447,M3,3,12,-0.3343082649924453,-0.3705022664936746,-0.0045192898319536,0.0009110993489522
RICL,16,-0.1846748161130185,-0.1771593222356858,-0.1240095206923822,0.2991787558279563,0.2702414988380922,0.032735279862277,M3,3,16,-0.3565798662152634,0.4718746386226063,-0.0041654312136898,0.0027138957424401
RICR,10,-0.5930267398364479,-0.4816260203280404,0.4128224916771102,0.2644713593714842,0.2522446195212691,0.0354366828984725,M3,3,10,-0.8824347695340349,0.0058345247069676,-0.010545963662845,0.0020049673588851
RIH,14,0.2368985770279068,0.4737844757289689,0.0501446826133235,0.3238382572350541,0.2873962500838848,0.0350746263669873,M3,3,14,-0.1576954368159619,0.2486280271000299,-0.0018941367892049,0.0024701683058151
RMEL,15,1.074593836694366,0.7531141608018515,0.0459393600129404,0.3773198547376678,0.294148081172621,0.0349441491131973,M3,3,15,1.077572183906142,0.0345333449698837,0.0129102921408848,0.0017277731746739
RMER,17,1.4705997210500772,0.1608810519818695,0.0675955809629358,0.4059912324863564,0.2786933970486693,0.0318609674576569,M3,3,17,1.3040542352646514,-0.1828274382543115,0.0154783299903029,0.0012796392560187
RMEV,6,0.6013103562196711,0.029286878669062,-0.1679077988632004,0.3517504996405134,0.2734652645298869,0.0296329244427715,M3,3,6,0.6962603257846842,0.1308959526701509,0.0081907624609096,0.0016436013385927
