neuron,cell_class,cluster_label,modularity_cluster_k5,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
IL2VL,Sensory,M3,3,0.012479893197348744,0.0019687035538685843,0.010511189643480159,0.008566637418812412,0.08799472389299011,0.8129133566428556,0.6666666666666666,8,12,1,103.0,4.0
RMER,Motorneuron,M3,3,0.0002153831849629171,0.010892583961183849,-0.01067720077622093,0.03528114303804352,0.017686188362908282,-0.7533276666586115,0.0,0,2,16,7.0,84.0
IL2L,Sensory,M3,3,0.011960987441581852,0.0035258985926556376,0.008435088848926214,0.021439905959948723,0.02079464528539616,0.146128035678238,0.6153846153846154,8,13,9,107.0,15.0
CEPDR,Sensory,M3,3,0.014560401894145546,0.004532493314736592,0.010027908579408953,0.02929626756160434,0.03580327110831917,0.3010299956639812,0.5714285714285714,12,21,10,138.0,20.0
RMEL,Motorneuron,M3,3,0.0003684194779962586,0.007044081282271817,-0.006675661804275558,0.029940392169424325,0.015254824600360326,-0.4149733479708179,0.0,0,4,12,5.0,73.0
IL2R,Sensory,M3,3,0.006334833922423582,0.0028515247971367475,0.0034833091252868343,0.03489928530340198,0.04344802598944942,0.3590219426416679,0.6666666666666666,10,15,6,87.0,11.0
RIH,Interneuron,M3,3,0.09855108244116093,0.010556358548170811,0.08799472389299011,0.051873727045225596,0.010455945449493312,0.07918124604762482,0.7931034482758621,23,29,24,266.0,110.0
RMDDR,Motorneuron,M5,5,0.036416170155700145,0.23248962487630362,-0.19607345472060347,-0.19166400415125331,0.06182114141621678,-0.7403626894942439,0.0,0,3,21,30.0,290.0
RMDVR,Motorneuron,M5,5,0.05589019362057648,0.22282009383383347,-0.166929900213257,-0.14086155119859764,0.0708327969591204,-0.24778448371075615,0.0,0,12,22,64.0,269.0
RMDVL,Motorneuron,M5,5,0.05177810438699611,0.2454937422646028,-0.1937156378776067,-0.1382482450584932,0.07529284165357633,-0.24303804868629447,0.0,0,11,20,58.0,277.0
IL1L,Sensory,M5,5,0.06739652488924235,0.003497719236581108,0.06389880565266123,-0.13171288090184477,-0.003930477227203217,0.11394335230683679,0.5,6,12,9,76.0,33.0
IL1R,Sensory,M5,5,0.0647318883846764,0.00851125116949561,0.056220637215180794,-0.11908460520401216,-0.04382479595182561,-0.03218468337140124,0.25,3,12,13,77.0,35.0
IL1VR,Sensory,M5,5,0.05584384313382929,0.007657113820698299,0.04818672931313099,-0.11511047272258201,0.017849238832870668,0.0,0.625,5,8,8,77.0,63.0
RIAR,Interneuron,M5,5,0.4136600387534331,0.16951539735884977,0.24414464139458333,-0.11280202502038061,0.02167500784157932,-0.14132915279646932,0.32,8,25,35,447.0,421.0
URYDL,Sensory,M5,5,0.0524577638750026,0.005099035692786631,0.047358728182215974,-0.10821989643171724,0.017301628479884847,0.17609125905568124,0.36363636363636365,4,11,7,65.0,22.0
RIAL,Interneuron,M5,5,0.3454455440256369,0.20516748392549744,0.14027806010013943,-0.10680632839294114,0.035420862305325346,-0.12104369272477575,0.37037037037037035,10,27,36,400.0,434.0
RMED,Motorneuron,M5,5,0.005067764103388034,0.00867066354285894,-0.0036028994394709064,-0.11615538181487886,-0.03628696622457546,-0.47712125471966244,0.0,0,4,14,7.0,73.0
URYVR,Sensory,M5,5,0.10125624274993218,0.005421920371887573,0.09583432237804461,-0.09658661235875286,0.023184624918537462,0.2304489213782739,0.3125,5,16,9,138.0,20.0
URYDR,Sensory,M5,5,0.03982706399935821,0.0016019697261201013,0.03822509427323811,-0.08693936351617086,0.02844663167579388,0.3979400086720376,0.42857142857142855,6,14,5,62.0,9.0
RMDDL,Motorneuron,M5,5,0.027988421155676305,0.24051226023573,-0.21252383908005368,-0.07544883430269819,0.0582212357254226,-0.43136376415898736,0.0,0,9,26,41.0,309.0
RMGL,Interneuron,M5,5,0.04657211484504943,0.007424313360740558,0.039147801484308874,-0.06457089744293308,0.006922637217125357,0.16914239910035345,0.4666666666666667,14,30,20,91.0,57.0
RIVL,Motorneuron,M5,5,0.024867929769575692,0.025642315264205125,-0.0007743854946294336,-0.014288403617360118,0.03248766344700046,-0.104735350520013,0.0,0,10,13,44.0,42.0
RIVR,Motorneuron,M5,5,0.022170196615311544,0.033165518719386805,-0.01099532210407526,0.0019053193605542739,0.0898898680120463,0.032184683371401235,0.0,0,13,12,52.0,35.0
SMDDR,Motorneuron,M5,5,0.021486485538051762,0.17422051954232695,-0.15273403400427518,0.008702341888046283,0.062427601232674455,-0.16840443038939024,0.0,0,18,27,71.0,238.0
SMDVR,Motorneuron,M5,5,0.0639169316623753,0.13601852146522125,-0.07210158980284595,0.027262773639679345,0.062331088213521846,-0.16749108729376366,0.0,0,16,24,140.0,171.0
SMDVL,Motorneuron,M5,5,0.07774796929416583,0.14401333556017093,-0.0662653662660051,0.03533758824197497,0.08653273527775932,-0.20712549279565,0.0,0,17,28,163.0,169.0
SMDDL,Motorneuron,M5,5,0.04031092132805692,0.1532627732538385,-0.11295185192578158,0.03528761233371245,0.0629079901978606,-0.11394335230683675,0.0,0,19,25,95.0,220.0
RMDR,Motorneuron,M5,5,0.05789558857669697,0.1413504575267968,-0.08345486895009985,0.05355522925004981,0.06711560294260614,-0.3309932190414244,0.0,0,13,29,71.0,200.0
RMDL,Motorneuron,M5,5,0.06298715214123815,0.10397015220567105,-0.040983000064432895,0.05939491241775405,0.047162523415179645,-0.015794267183231903,0.0,0,26,27,95.0,180.0
