neuron,n_recordings_te,NetTE_z,NeighborNetTE_z,NetTE,NeighborNetTE,cluster_label,cluster_sort
URADR,4,-1.0778733786692591,-0.7780328146506766,-0.013361498113437674,-0.00042302226160061346,M3,3
URAVL,7,-0.33376327325800254,0.801009999753281,-0.004198811491215726,0.0031001536295530673,M3,3
URAVR,2,-0.7320775499870052,-0.9040120137326391,-0.009347453408420709,-0.0017175411081728036,M3,3
IL1L,15,-0.0766201915567913,-0.26043795381882445,-0.001116566598216179,0.0012818500672724623,M5,4
IL1R,13,0.7870533070725132,-0.07429408463127156,0.009170062733715382,0.0014049757078756877,M5,4
IL1VR,12,0.4708614096620396,-0.12950098599004137,0.00446077897887976,0.0014043311404303867,M5,4
RIAL,12,-0.0008120231309250251,0.5646113975826365,2.393917602141144e-05,0.00277518073328748,M5,4
RIAR,8,-0.42733340491990013,-0.6355434809363878,-0.004615911200085384,1.1880088073269084e-05,M5,4
RIVL,18,0.7485732813203636,-0.09348385377763524,0.008906089086772402,0.0014906534557212856,M5,4
RIVR,16,0.4700242712550891,0.04661418921657577,0.005343947583743977,0.001776621868523983,M5,4
RMDDL,16,-0.5524674764449905,-0.0744872539949478,-0.006631725107776861,0.001571205890972926,M5,4
RMDDR,12,-0.9427161715782121,0.17479583168000004,-0.011611752387662528,0.00206758401748643,M5,4
RMDL,14,0.6756667893431924,-0.09955578324096867,0.007774065136582698,0.0013650838628343665,M5,4
RMDR,5,-0.23724446273022362,0.1406319257513246,-0.002378935786137329,0.0016868219526128352,M5,4
RMDVL,14,-0.25442992461267033,0.23545130884998525,-0.0032371565788650376,0.0021318504535505272,M5,4
RMDVR,14,-0.6623643266704505,0.1500614267984522,-0.008128301257649326,0.0019585329168993657,M5,4
RMED,3,0.819458380045882,-0.11837452691884931,0.00979717561110287,0.001296723447830944,M5,4
RMGL,6,-1.035804132673779,0.3714297853095802,-0.011924424758885298,0.002726206489275409,M5,4
SMDDL,6,-0.10532241438293977,0.15134744460093,-0.0005988650178808029,0.001750063303080909,M5,4
SMDDR,4,0.06933270476722128,-0.4708360717320621,0.0011083779839393547,0.0009773979629134955,M5,4
SMDVL,16,0.623098006230089,-0.07888615187577953,0.007166316113477643,0.001385671998795668,M5,4
SMDVR,12,-0.3790456240667081,0.34815938166008537,-0.004304526541442709,0.0023683002268913823,M5,4
URYDL,13,-0.19986265655620278,0.17439370928719852,-0.0026194249786749926,0.002088583904736148,M5,4
URYDR,13,-0.5307994278407288,-0.2389350010169011,-0.006331454983749895,0.0008248251253501087,M5,4
URYVR,12,-0.44436965355198615,0.22666439796343238,-0.00561532290929815,0.0023969479492762604,M5,4
