Subject,StimulusIndex,Region,RegionID,Division,PostDCA,FCShift,NTimepoints,SpotNeuronCount,StimNeuronCount,Definition
12,0,lOB,20,Tel,0.8396904821626903,4.149554361472191,44,223,223,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rCb,37,Hind,-0.5336652505464933,1.7391350609308605,150,1685,1685,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rMON,36,Hind,-0.20825183989935483,0.9705420395368541,150,1120,1120,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rMOS1,38,Hind,0.16364639867929043,2.1847653397830316,150,1483,1483,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rMOS2,39,Hind,0.8422349936180663,1.254244905884468,150,554,554,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rMOS3,40,Hind,-0.5651363701456422,2.1298214584782027,150,1496,1496,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rMOS4,41,Hind,0.12590502818072719,1.4375327144798007,150,1113,1113,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rMOS5,42,Hind,0.14031625821006288,1.7767580763268218,150,1530,1530,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rNX,71,Hind,-0.6893400895121092,1.309466293196388,150,484,484,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rRa,46,Hind,-0.7676411283127857,4.208910690022865,150,201,201,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rT,47,Hind,-1.0407411074881572,1.544686608842146,150,1437,1437,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,raRF,48,Hind,-0.6631233902290617,1.694177019657207,150,208,208,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rimRF,49,Hind,-1.54619502907132,1.1842526115331955,150,436,436,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rpRF,50,Hind,0.10367599956677641,1.6134741280219398,150,535,535,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lOB,20,Tel,0.8396904821626903,1.5995194112566171,150,223,223,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lP,22,Tel,1.231407127758574,2.429021384914086,150,933,933,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lPO,25,Tel,1.5972895725725633,2.9114488417284243,150,425,425,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lSP,28,Tel,1.3712731940440057,2.4262029948268617,150,679,679,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,rP,58,Tel,1.6274838194004198,1.716062138188127,150,976,976,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,rPO,61,Tel,1.5828504374539252,2.6336285846393177,150,382,382,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,rSP,64,Tel,0.8449219250677052,2.266255686698866,150,658,658,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lHb,16,Di,2.3676084202295034,1.6760697242899976,150,309,309,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lPT,24,Di,0.4045887279983318,1.3363255795628448,150,379,379,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lPrT,26,Di,-0.760839251044076,1.8748707085601368,150,407,407,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lTh,30,Di,-0.27932436463978083,2.242230688032763,150,1186,1186,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,rHb,52,Di,1.269284446459516,3.9689795883015235,150,260,260,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,rPT,60,Di,0.6955220273189893,1.5388005121944384,150,407,407,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,rPrT,62,Di,-0.8729101402526896,1.532425523277786,150,577,577,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,rTh,66,Di,0.12267948011021526,1.3361571650888724,150,1297,1297,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lTS,32,Mes,-0.038289558822681,1.6634264865910704,150,404,404,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lTeO,29,Mes,-0.22102994971595435,1.2080439809926375,150,6182,6182,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,rTS,68,Mes,-0.0707917864782934,2.185656384573939,150,130,130,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,rTeO,65,Mes,-0.9360345644680327,1.2013177110738404,150,7358,7358,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lCb,1,Hind,-0.23156409707923123,1.7720079010204652,150,1625,1625,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,10,lMON,0,Hind,-0.1885718314625819,1.585078130905106,150,863,863,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
